CVE,Uptime,Updated
CVE-2023-49933,2023-12-22T00:00:00,yes
CVE-2023-49797,2023-12-21T00:00:00,yes
CVE-2023-4966,2024-07-17T00:00:00,yes
CVE-2023-49652,2024-06-05T00:00:00,yes
CVE-2023-49581,2023-12-20T00:00:00,yes
CVE-2023-49342,2023-12-21T00:00:00,yes
CVE-2023-49297,2023-12-21T00:00:00,yes
CVE-2023-49286,2024-03-05T00:00:00,yes
CVE-2023-49285,2023-12-18T00:00:00,yes
CVE-2023-49284,2023-12-17T00:00:00,yes
CVE-2023-4912,2024-05-17T00:00:00,yes
CVE-2023-4911,2024-01-29T00:00:00,yes
CVE-2023-49083,2023-12-15T00:00:00,yes
CVE-2023-49080,2023-12-21T00:00:00,yes
CVE-2023-4900,2023-09-21T00:00:00,yes
CVE-2023-48795,2023-12-30T00:00:00,yes
CVE-2023-4875,2023-09-29T00:00:00,yes
CVE-2023-4874,2023-10-19T00:00:00,yes
CVE-2023-48706,2024-08-09T00:00:00,yes
CVE-2023-48632,2024-04-11T00:00:00,yes
CVE-2023-4863,2023-12-25T00:00:00,yes
CVE-2023-48625,2024-08-16T00:00:00,yes
CVE-2023-48365,2024-05-21T00:00:00,yes
CVE-2023-48235,2024-08-09T00:00:00,yes
CVE-2023-48234,2024-08-09T00:00:00,yes
CVE-2023-48233,2024-08-09T00:00:00,yes
CVE-2023-48232,2024-08-09T00:00:00,yes
CVE-2023-48231,2023-12-21T00:00:00,yes
CVE-2023-4822,2024-06-19T00:00:00,yes
CVE-2023-4814,2023-09-22T00:00:00,yes
CVE-2023-4813,2023-10-19T00:00:00,yes
CVE-2023-48107,2023-12-26T00:00:00,yes
CVE-2023-4809,2023-09-25T00:00:00,yes
CVE-2023-48084,2024-06-05T00:00:00,yes
CVE-2023-4807,2023-12-01T00:00:00,yes
CVE-2023-4806,2023-12-07T00:00:00,yes
CVE-2023-4781,2023-10-06T00:00:00,yes
CVE-2023-47797,2024-06-05T00:00:00,yes
CVE-2023-47641,2023-12-21T00:00:00,yes
CVE-2023-47627,2023-12-06T00:00:00,yes
CVE-2023-4761,2024-02-07T00:00:00,yes
CVE-2023-4752,2023-10-23T00:00:00,yes
CVE-2023-4750,2023-10-06T00:00:00,yes
CVE-2023-4738,2023-10-26T00:00:00,yes
CVE-2023-4736,2023-11-02T00:00:00,yes
CVE-2023-47359,2024-01-12T00:00:00,yes
CVE-2023-4735,2023-10-26T00:00:00,yes
CVE-2023-4734,2023-10-26T00:00:00,yes
CVE-2023-4733,2023-11-07T00:00:00,yes
CVE-2023-47272,2024-02-16T00:00:00,yes
CVE-2023-47270,2023-12-29T00:00:00,yes
CVE-2023-47248,2023-11-28T00:00:00,yes
CVE-2023-47246,2023-12-11T00:00:00,yes
CVE-2023-47127,2024-06-05T00:00:00,yes
CVE-2023-47126,2024-06-05T00:00:00,yes
CVE-2023-47125,2023-12-21T00:00:00,yes
CVE-2023-47076,2024-04-11T00:00:00,yes
CVE-2023-47066,2024-01-26T00:00:00,yes
CVE-2023-47064,2024-03-14T00:00:00,yes
CVE-2023-47063,2024-04-11T00:00:00,yes
CVE-2023-47061,2024-08-16T00:00:00,yes
CVE-2023-47055,2024-03-15T00:00:00,yes
CVE-2023-47046,2024-02-16T00:00:00,yes
CVE-2023-47040,2024-04-11T00:00:00,yes
CVE-2023-47038,2024-04-29T00:00:00,yes
CVE-2023-4700,2024-05-17T00:00:00,yes
CVE-2023-4692,2023-11-06T00:00:00,yes
CVE-2023-46862,2023-12-25T00:00:00,yes
CVE-2023-46853,2023-11-18T00:00:00,yes
CVE-2023-46852,2023-12-15T00:00:00,yes
CVE-2023-46849,2023-11-28T00:00:00,yes
CVE-2023-46847,2023-12-22T00:00:00,yes
CVE-2023-46846,2023-12-20T00:00:00,yes
CVE-2023-46836,2024-07-19T00:00:00,yes
CVE-2023-46835,2024-07-19T00:00:00,yes
CVE-2023-46813,2024-01-09T00:00:00,yes
CVE-2023-46753,2023-11-12T00:00:00,yes
CVE-2023-46752,2023-11-21T00:00:00,yes
CVE-2023-46751,2024-06-14T00:00:00,yes
CVE-2023-46748,2024-01-12T00:00:00,yes
CVE-2023-46747,2024-07-22T00:00:00,yes
CVE-2023-46737,2023-12-21T00:00:00,yes
CVE-2023-46734,2023-11-24T00:00:00,yes
CVE-2023-46728,2023-12-20T00:00:00,yes
CVE-2023-46724,2023-12-28T00:00:00,yes
CVE-2023-46675,2024-02-08T00:00:00,yes
CVE-2023-46671,2023-12-22T00:00:00,yes
CVE-2023-46650,2024-06-05T00:00:00,yes
CVE-2023-46604,2024-07-31T00:00:00,yes
CVE-2023-46589,2024-05-23T00:00:00,yes
CVE-2023-4658,2024-05-17T00:00:00,yes
CVE-2023-4647,2024-05-17T00:00:00,yes
CVE-2023-46445,2024-04-29T00:00:00,yes
CVE-2023-4641,2024-01-05T00:00:00,yes
CVE-2023-4638,2024-01-02T00:00:00,yes
CVE-2023-46361,2023-12-18T00:00:00,yes
CVE-2023-46316,2024-01-23T00:00:00,yes
CVE-2023-4630,2024-05-17T00:00:00,yes
CVE-2023-46246,2024-08-09T00:00:00,yes
CVE-2023-46234,2023-11-08T00:00:00,yes
CVE-2023-46233,2023-11-27T00:00:00,yes
CVE-2023-4623,2023-12-12T00:00:00,yes
CVE-2023-46228,2023-10-28T00:00:00,yes
CVE-2023-4622,2023-12-19T00:00:00,yes
CVE-2023-46218,2024-02-02T00:00:00,yes
CVE-2023-46216,2024-07-17T00:00:00,yes
CVE-2023-46214,2024-04-26T00:00:00,yes
CVE-2023-46213,2024-04-26T00:00:00,yes
CVE-2023-46158,2024-03-26T00:00:00,yes
CVE-2023-46137,2023-12-15T00:00:00,yes
CVE-2023-46136,2023-11-02T00:00:00,yes
CVE-2023-4613,2024-07-31T00:00:00,yes
CVE-2023-46129,2024-07-03T00:00:00,yes
CVE-2023-46122,2023-11-24T00:00:00,yes
CVE-2023-46118,2023-12-21T00:00:00,yes
CVE-2023-45897,2023-11-22T00:00:00,yes
CVE-2023-45886,2024-05-10T00:00:00,yes
CVE-2023-45871,2024-01-05T00:00:00,yes
CVE-2023-45866,2023-12-24T00:00:00,yes
CVE-2023-45853,2023-11-28T00:00:00,yes
CVE-2023-45803,2023-11-17T00:00:00,yes
CVE-2023-4573,2023-12-01T00:00:00,yes
CVE-2023-45725,2023-12-21T00:00:00,yes
CVE-2023-4572,2024-02-07T00:00:00,yes
CVE-2023-4569,2023-10-24T00:00:00,yes
CVE-2023-4563,2024-04-29T00:00:00,yes
CVE-2023-45614,2024-03-08T00:00:00,yes
CVE-2023-45539,2023-12-15T00:00:00,yes
CVE-2023-45322,2023-11-24T00:00:00,yes
CVE-2023-4532,2024-05-17T00:00:00,yes
CVE-2023-45287,2024-03-08T00:00:00,yes
CVE-2023-45283,2023-11-20T00:00:00,yes
CVE-2023-4527,2024-01-29T00:00:00,yes
