0,1,2
0.0,1.0,2.0
0.0,,
184339.0,,
184338.0,,
184347.0,,
184346.0,,
184345.0,,
184344.0,,
184343.0,,
184342.0,,
184341.0,,
184340.0,,
186028.0,,
186027.0,,
186026.0,,
186025.0,,
186024.0,,
186023.0,,
186022.0,,
186021.0,,
186020.0,,
186019.0,,
186018.0,,
186017.0,,
186016.0,,
186015.0,,
186014.0,,
186013.0,,
186012.0,,
186011.0,,
186010.0,,
186009.0,,
186008.0,,
186007.0,,
186006.0,,
186005.0,,
186004.0,,
186003.0,,
186002.0,,
186001.0,,
186000.0,,
185999.0,,
185998.0,,
185997.0,,
185996.0,,
185995.0,,
185994.0,,
185993.0,,
185992.0,,
185991.0,,
185990.0,,
185989.0,,
185988.0,,
185987.0,,
185986.0,,
185985.0,,
185984.0,,
185983.0,,
185982.0,,
185981.0,,
185980.0,,
185979.0,,
185978.0,,
185977.0,,
185976.0,,
185975.0,,
185974.0,,
185973.0,,
185972.0,,
185971.0,,
185970.0,,
185969.0,,
185968.0,,
185967.0,,
185966.0,,
185965.0,,
185964.0,,
185963.0,,
185962.0,,
185961.0,,
185960.0,,
185959.0,,
185958.0,,
185957.0,,
185956.0,,
185955.0,,
185954.0,,
185953.0,,
185952.0,,
185951.0,,
185950.0,,
185949.0,,
185948.0,,
185947.0,,
185946.0,,
185945.0,,
185944.0,,
185943.0,,
185942.0,,
185941.0,,
185940.0,,
185939.0,,
185938.0,,
185937.0,,
185936.0,,
185935.0,,
185934.0,,
185933.0,,
185931.0,,
185930.0,,
185929.0,,
185928.0,,
185927.0,,
185926.0,,
185925.0,,
185924.0,,
185923.0,,
185922.0,,
185921.0,,
185920.0,,
185919.0,,
185918.0,,
185917.0,,
185916.0,,
185915.0,,
185914.0,,
185913.0,,
185912.0,,
185911.0,,
185910.0,,
185909.0,,
185908.0,,
185907.0,,
185906.0,,
185905.0,,
185904.0,,
185903.0,,
185902.0,,
185901.0,,
185900.0,,
185899.0,,
185898.0,,
185897.0,,
185896.0,,
185895.0,,
185894.0,,
185893.0,,
185892.0,,
185891.0,,
185890.0,,
185889.0,,
185888.0,,
185887.0,,
185886.0,,
185885.0,,
185884.0,,
185883.0,,
185882.0,,
185881.0,,
185880.0,,
185879.0,,
185878.0,,
185877.0,,
185876.0,,
185875.0,,
185874.0,,
185873.0,,
185872.0,,
185871.0,,
185870.0,,
185869.0,,
185868.0,,
185867.0,,
185866.0,,
185865.0,,
185864.0,,
185863.0,,
185862.0,,
185861.0,,
185860.0,,
185859.0,,
185858.0,,
185857.0,,
185856.0,,
185855.0,,
185854.0,,
